Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"TeraWulf","WULF","YES","-.03","-.02","1","-.12","98.09999","17.29999","","15.03","-45.799","11.083","-90.79101","-67.28801","14.144","Alternative Energy - Other","Oils-Energy","186.08"
"WAVE Life Sciences","WVE","YES","-.36","-.37","4","-1.08","51.36","4.8125","-91.09","3.65","-161.142","0","-161.823","-151.709","98.537","Medical - Biomedical and Genetics","Medical","433.62"
"WW International","WW","YES",".11",".01","1","-.11","910.518","219.39999","-14.15","1040.86","-284.641","418.45599","-251.403","108.174","281.33099","Leisure and Recreation Services","Consumer Discretionary","294.38"
"Woodward","WWD","YES",".93","1.06","4","3.28","2654.43798","676.65002","6.1","2382.79","234.44299","1857.48498","171.69799","294.45098","1311.96899","Instruments - Control","Computer and Technology","5572.07"
"World Wrestling Entertainment","WWE","YES",".99",".62","3","2.79","1334.07299","393.54299","17.92","1291.5","285.53698","730.62402","195.58799","309.58099","627.14801","Film and Television Production and Distribution","Consumer Discretionary","7472.9"
"Uranium Resources","WWR","YES","","","","","","","","","-11.12101","0","-11.12101","-10.97501","76.08799","Mining - Miscellaneous","Basic Materials","51"
"Wolverine World Wide","WWW","YES",".39",".69","5","1.53","2564.93994","669.83099","11.18","2684.8","-205.60001","1614.40002","-188.30001","147.56599","1265.30004","Shoes and Retail Apparel ","Consumer Discretionary","1265.98"
"Weyerhaeuser","WY","YES",".31",".34","4","1.05","8028.57714","2137.46997","-.17","10184","2575","6564","1880","2727","2746","Building Products - Wood","Construction","21876.83"
"Wynn Resorts","WYNN","YES",".03",".19","6",".84","5382.46777","1301.04504","-.18","3756.82","-49.15101","2390.22192","-423.85599","214.317","4029.58691","Gaming","Consumer Discretionary","12404.94"
"WidePoint","WYY","YES","","","","","","","7.75","94.1","-18.247","79.52799","-23.585","11.50399","27.988","Computer - Services","Computer and Technology","16.84"
"United States Steel","X","YES",".91",".65","5","3.19","16963.42578","4415.66796","3.9","21065","3418","16777","2524","3533","7866","Steel - Producers","Basic Materials","5634.47"
"Beyond Air","XAIR","YES","-.4","-.4","1","-1.69","25.89999","6","",".87","-43.285","0","-43.17801","-29.928","92.94499","Medical - Biomedical and Genetics","Medical","199.81"
"","XBI","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","6341.77"
"Xenetic Biosciences","XBIO","YES","-.11","-.12","1","-.47","1.79999",".43999","47.03","1.71","-6.55201","0","-6.55201","-6.52501","13.65299","Medical - Drugs","Medical","6.52"
"XBiotech","XBIT","YES","","","","","","","-78.2","4.01","-33.58801",".651","-32.90001","2.614","219.843","Medical - Biomedical and Genetics","Medical","109.89"
"Xcel Energy","XEL","YES",".73","1.15","3","3.37","15250.17871","3556.92895","13.99","15310","2554","9450","1736","4290","5144","Utility - Electric Power","Utilities","39187.6"
"Exela Technologies","XELA","YES","","","","-.55","","","-7.67","1077.16","-246.512","877.47399","-415.581","-133.907","190.496","Technology Services","Business Services","45.11"
"Xenon Pharmaceuticals","XENE","YES","-.71","-.76","7","-2.87","18","3","-48.83","9.43","-125.255","0","-125.37301","-123.74901","600.29797","Medical - Biomedical and Genetics","Medical","2215.16"
"Xeris Pharmaceuticals","XERS","YES","-.14","-.13","3","-.56","146.901","34.64899","122.32","110.25","-80.75901","22.634","-94.66001","-78.14801","186.81799","Medical - Drugs","Medical",""
"X4 Pharmaceuticals","XFOR","YES","-.18","-.18","5","-.79","2.5","","","3","-89.84601","0","-93.867","-93.354","128.677","Medical - Biomedical and Genetics","Medical","100.79"
"Exagen","XGN","YES","-.46","-.43","2","-1.87","44.533","10.69999","-5.66","45.56","-45.22101","24.214","-47.38701","-35.813","72.611","Medical - Products","Medical","41.06"
"Xenia Hotels & Resorts","XHR","YES",".48",".27","5","1.5","1019.97497","273.00201","61.9","997.61","142.56199","385.82699","55.922","193.83","403.47198","REIT and Equity Trust - Other","Finance","1410.98"
"Xinyuan Real Estate Co","XIN","YES","","","","","","","42.21","2482.63","-237.144","1468.08105","-417.30701","94.20999","1116.19897","Real Estate - Development","Finance","19.7"
"","XLB","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","5300.97"
"","XLF","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","29614.74"
"","XLU","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","16047.22"
"","XLY","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","14029.22"
"Qualtrics International","XM","YES",".05",".07","8",".22","1664.68603","405.54998","35.6","1458.63","-1040.57703","429.95001","-1061.47803","194.13499","1406.28295","Internet - Software","Computer and Technology","10759.87"
"","XME","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","2159.69"
"Xometry","XMTR","YES","-.09","-.04","2","-.32","471.177","111.49299","74.53","381.05","-71.55501","233.48699","-76.02501","-30.57601","390.05499","Manufacturing - General Industrial ","Industrial Products","612.96"
"Xencor","XNCR","YES","-.78","-.81","5","-2.8","81.82199","19.71599","-40.18","164.58","-54.508","0","-55.181","-44.745","675.34197","Medical - Drugs","Medical","1732.47"
"Xunlei Limited","XNET","YES","","","","","","","43.46","342.56","25.50799","200.054","21.46299","29.64699","332.18399","Internet - Services","Computer and Technology","117.7"
"Exxon Mobil","XOM","YES","2.37","2.7","6","9.98","355857.96875","85914.03125","44.83","413680","78551","299487","55740","83141","97631","Oil and Gas - Integrated - International","Oils-Energy","468366.81"
"XOMA","XOMA","YES","-.54","-.52","1","-.96","6.9","1.7","-84.21","6.03","-17.119","0","-17.10401","-22.47201","61.25299","Medical - Biomedical and Genetics","Medical","220.85"
"Xos","XOS","YES","-.09","-.09","2","-.38","71.565","15.38","620.6","36.38","-73.31701","66.40499","-73.325","-99.643","163.201","Automotive - Domestic","Auto-Tires-Trucks","101.56"
"XP","XP","YES",".38",".4","1","1.47","2875.08398","707.84399","15.49","2585.25","745.156","0","693.26202","829.12799","1656.98095","Financial - Miscellaneous Services","Finance","6059.91"
"XPEL","XPEL","YES",".53",".6","1","2.03","387.95999","98.69999","24.97","323.99","53.375","196.481","41.381","49.215","106.82099","Automotive - Original Equipment","Auto-Tires-Trucks","1786.21"
"Xperi Inc.","XPER","YES","-.15","-.01","1","-.16","537.13","129.05","3.24","502.26","-747.61701","122.94599","-757.48401","764.70098","332.264","Technology Services","Business Services","442.31"
"XPeng","XPEV","YES","-.32","-.32","1","-1.16","5028.56689","","18.22","3893.63","-1302.87195","3445.85205","-1325.02698","-1222.016","6310.88085","Automotive - Foreign","Auto-Tires-Trucks","8778.28"
"XPO, Inc.","XPO","YES",".73",".67","6","2.53","7482.00292","1929.74304","-39.73","7718","393","6099","666","800","1630","Transportation - Truck","Transportation","3480.1"
"Xponential Fitness","XPOF","YES",".17",".26","6",".85","293.526","72.288","57.95","244.95","16.41799","65.66699","22.159","16.84","85.734","Leisure and Recreation Services","Consumer Discretionary","1484.52"
"Expro Group Holdings","XPRO","YES",".26",".39","1","1.33","1531","368","54.94","1279.42","21.10199","1057.35595","-20.14501","119.622","865.50701","Oil and Gas - Production and Pipelines","Oils-Energy","2023.94"
"Dentsply Sirona","XRAY","YES",".44",".5","8","1.87","3912.28198","994.47198","-7.74","3922","-995","1795","-950","1967","1893","Medical - Dental Supplies","Medical","8515.41"
"Xerox","XRX","YES",".3",".28","3","1.19","6962.58984","1776.5",".98","7107","-328","4789","-322","871","4107","Office Supplies","Industrial Products","2251.09"
"XWELL, Inc.","XWEL","YES","-.03","-.02","1","-.15","54.72999","13.79399","779.3","73.73","2.94899","41.38499","3.34899","8.269","108.97899","Medical Services","Medical","29.08"
"22nd Century Group","XXII","YES","-.07","-.07","3","-.27","92.65699","21.64699","100.69","62.11","-59.882","60.937","-59.801","-55.232","44.60499","Tobacco","Consumer Staples","154.47"
"Xylem","XYL","YES",".76",".81","4","3.18","6014.75","1426.46704","6.29","5522","490","3438","355","752","3012","Manufacturing - General Industrial ","Industrial Products","18108.74"
"Yalla Group Limited","YALA","YES","","","","","","","11.16","303.6","84.61399","113.80799","79.757","79.757","481.69799","Internet - Software","Computer and Technology","575.93"
"cbdMD","YCBD","YES","","","","","","","-20.41","35.4","-70.1","13.067","-70.084","-5.24981","16.01199","Advertising and Marketing","Business Services","12.45"
"Yellow","YELL","YES",".13","-.27","1","-.98","4966.10009","1352.5","2.4","5244.7","189.39999","1825.09997","21.79999","284.5","914.09997","Transportation - Services","Transportation","93.77"
"Yelp","YELP","YES",".24",".35","5",".92","1301.57104","324.078","15.67","1193.51","66.77799","105.705","36.347","100.026","595.992","Internet - Content","Computer and Technology","2155.14"
"YETI","YETI","YES",".51",".57","6","2.17","1694.79895","420.34399","13.06","1595.22","120.64299","831.82098","89.693","246.14999","718.91998","Leisure and Recreation Products","Consumer Discretionary","3238.34"
"Yext","YEXT","YES",".05",".05","2",".2","405.51998","98.56999","2.63","400.85","-63.26901","103.95999","-65.93801","23.52199","346.59298","Technology Services","Business Services","1013.47"
"111 Inc.","YI","YES","","","","","","",".5","1959.74","-52.578","1837.95202","-47.62401","-60.44401","469.151","Medical Info Systems","Medical",""
"YmAbs Therapeutics","YMAB","YES","-.28","-.28","3","-1.19","63.66699","15.88199","87.03","65.27","-95.56801","7.467","-95.56801","-94.729","130.447","Medical - Biomedical and Genetics","Medical","250.27"
"Full Truck Alliance","YMM","YES","","","","","1181.29003","","33.59","976.29","-571.24299","398.58099","58.97499","201.57299","4534.76318","Technology Services","Business Services","7939.1"
"Yandex","YNDX","YES","","","","","","","54.71","7417.1","1048.5","3315.69995","561.09997","308.97399","3411.19995","Internet - Content","Computer and Technology","6840.31"
"The York Water Company","YORW","YES",".43",".45","1","1.51","69","17","8.97","60.06","24.70899","14.133","19.57999","29.71899","14.234","Utility - Water Supply","Utilities","661.2"
"CLEAR Secure","YOU","YES",".02",".06","2",".02","571.135","135.035","72.25","437.43","-117.49801","161.054","-65.573","90.75299","741.59997","Security and Safety Services","Industrial Products","3632.79"
"YPF Sociedad Anonima","YPF","YES","1.28",".91","2","3.86","17630.27929","4506.85498","41.69","18757","5371","13684","2228","5122","5143","Oil and Gas - Integrated - International","Oils-Energy","4389.37"
"17 Education & Technology Group","YQ","YES","","","","","","","-77.54","77","-226.26801","29.89699","-25.78801","-7.00401","132.427","Schools","Consumer Discretionary","57.41"
"Yirendai","YRD","YES","","","","","","","-29.13","497.97","188.804","112.63099","173.24","173.24","1067.86901","Internet - Services","Computer and Technology","186.9"
"Yatsen","YSG","YES","-.03","-.03","1","-.08","550.33001","126.01499","-41.37","537.34","-242.90801","172.15199","-118.21701","-64.951","508.673","Consumer Products - Staples","Consumer Staples","565.08"
"Yum Brands","YUM","YES","1.22","1.3","7","5.08","7274.60498","1732.65197","3.92","6842","2189","1745","1325","1453.59997","1609","Retail - Restaurants","Retail-Wholesale","37002.25"
"Yum China","YUMC","YES",".39",".7","3","1.79","11532.76367","2669.68896","-2.88","9569","687","7829","442","1048","3940","Retail - Restaurants","Retail-Wholesale","26179.33"
"Leading Brands","YVR","YES","","","","","","","2094.29",".77","-12.763",".772","-12.77901","-12.386","6.83699","Film and Television Production and Distribution","Consumer Discretionary","5.03"
"JOYY","YY","YES",".51",".63","1","2.25","2376.67504","587.75799","-7.92","2411.52","647.34399","1559.38793","128.891","199.298","4644.64892","Internet - Services","Computer and Technology","2226.21"
"Zillow Group Class C","Z","YES","","","","","1955.34997","484.22","-75.97","1958","-50","367","-101","608","3603","Real Estate - Operations","Finance","10496.26"
"Zimmer Biomet","ZBH","YES","1.77","1.64","9","7.04","7133.69189","1791.22399","-11.44","6939.9","568.29998","2019.5","231.39999","2668.3999","4427.2998","Medical - Products","Medical","26993.98"
"Zebra Technologies","ZBRA","YES","4.13","4.41","3","17.62","5705.22021","1401.74694","2.74","5781","521","3157","463","1126","1883","Manufacturing - Thermal Products","Industrial Products","15434.79"
"Ziff Davis","ZD","YES","","","","","1381.66503","334.97","-1.82","1391","164.99499","195.554","63.75699","589.458","1084.27197","Internet - Software","Computer and Technology","3624.86"
"Zedge","ZDGE","YES","","","","","","","35.65","26.55","11.60599","1.641","9.71399","11.68","19.892","Internet - Content","Computer and Technology","27.03"
"Zepp Health","ZEPP","YES","","","","","","","-38.76","600.66","-45.74801","484.21798","-41.801","-34.681","428.94799","Medical Info Systems","Medical","81.64"
"Zeta Global","ZETA","YES",".05",".09","4",".32","691.69799","160.27099","28.94","590.96","-273.42701","215.466","-279.23902","71.63099","236.44799","Technology Services","Business Services","2113.61"
"Olympic Steel","ZEUS","YES","1.58","1.36","1","3.49","2347.05004","629.09997","10.71","2559.99","133.70199","2073.92993","90.93099","109.981","658.10601","Steel - Producers","Basic Materials","537.15"
"Lightning eMotors","ZEV","YES","-.2","-.2","2","-.74","38.84999","8.39999","16.3","24.41","30.128","36.25099","15.17","26.346","122.37699","Automotive - Domestic","Auto-Tires-Trucks","33.7"
"Zillow Group Class A","ZG","YES",".19",".37","2","1.12","1845.46301","461.346","-75.97","1958","-50","367","-101","608","3603","Internet - Services","Computer and Technology","10292.38"
"Ermenegildo Zegna","ZGN","YES","","","",".44","","","2.88","1573.13","-62.86501","366.298","54.25099","54.25099","1638.03894","Retail - Apparel and Shoes","Retail-Wholesale",""
"Zhihu","ZH","YES","","","","","669.99499","","12.55","522.66","-202.969","260.52099","-229.24601","-173.78101","1061.27197","Internet - Content","Computer and Technology","818.18"
"ZoomInfo Technologies","ZI","YES",".24",".25","7",".99","1279.12695","311.35299","46.95","1098","242.19999","140.19999","63.2","520.20001","832","Computer - Integrated Systems","Computer and Technology","9343.17"
"ZIM Integrated Shipping Services","ZIM","YES","-.21","-.02","2","-.69","6475.93017","1564.97998","17.08","12561.6","6266.70019","6134.7998","4619.3999","6015.70019","4271.60009","Transportation - Shipping","Transportation","2090"
"ZimVie Inc.","ZIMV","YES",".12","-.03","1",".34","831.84997","212.36","-9.93","913.86","-91.64","300.78601","-63.88101","170.65299","537.86297","Medical - Products","Medical","192.99"
"Zions Bancorporation","ZION","YES","1.47","1.48","9","6.03","3366.42407","828.565","12.36","3337","1267","70","907","1017","59974","Banks - West","Finance","4352.63"
"ZipRecruiter","ZIP","YES",".12",".15","3",".41","775.69702","193.74699","22.06","904.65","102.582","86.29799","61.49399","72.176","632.294","Business - Services","Business Services","1690.65"
"ZK International Group Co.","ZKIN","YES","","","","","","","3","102.39","-3.94301","94.79599","-6.081","-4.5512","66.76999","Steel - Producers","Basic Materials","20.03"
"Zai Lab Limited","ZLAB","YES","-.97","-.93","3","-4","322.59298","75.51","49.01","215.04","-443.06501","74.01799","-443.28602","-437.66102","1124.33605","Medical - Biomedical and Genetics","Medical","3263.3"
